quote,author,tags
"whatwouldmenbewithoutwomenscarce,sir...mightyscarce.",Mark Twain,"['humor', 'men', 'women']"
youvegotaboutasmuchcharmasadeadslug.,"Suzanne Collins,",['the-hunger-games']
francoisrabelais.hewasapoet.andhislastwordswereigotoseekagreatperhaps.thatswhyimgoing.soidonthavetowaituntilidietostartseekingagreatperhaps.,"John Green,","['francois-rabelais', 'last-words']"
"yourewishintoomuch,baby.yougottastopwearingyourwishbonewhereyourbackboneoughttabe.","Elizabeth Gilbert,",['wish']
"ifeltmylungsinflatewiththeonrushofsceneryair,mountains,trees,people.ithought,thisiswhatitistobehappy.","Sylvia Plath,","['ecstasy', 'happiness', 'nature']"
"dont.claryraisedawarninghand.imnotreallyinthemoodrightnow.thatsgottobethefirsttimeagirlseversaidthattome,jacemused.","Cassandra Clare,","['clary-fray', 'jace-wayland']"
itsenoughformetobesurethatyouandiexistatthismoment.,"Gabriel GarcÃ­a MÃ¡rquez,","['existence', 'truth']"
"startwriting,nomatterwhat.thewaterdoesnotflowuntilthefaucetisturnedon.",Louis L'Amour,"['inspirational', 'writing']"
allieverwantedwastoreachoutandtouchanotherhumanbeingnotjustwithmyhandsbutwithmyheart.,"Tahereh Mafi,","['compassion', 'empathy', 'loneliness', 'love']"
walkasifyouarekissingtheearthwithyourfeet.,"Thich Nhat Hanh,","['buddhism', 'gratitude', 'joy', 'mindfulness', 'zen']"
"ifellinlovewithhercourage,hersincerity,andherflamingselfrespect.anditsthesethingsidbelievein,evenifthewholeworldindulgedinwildsuspicionsthatshewasntallsheshouldbe.iloveheranditisthebeginningofeverything.",F. Scott Fitzgerald,['love']
"pursuewhatcatchesyourheart,notwhatcatchesyoureyes.","Roy T. Bennett,","['gratitude', 'heart', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'thoughts']"
"ofallformsofcaution,cautioninloveisperhapsthemostfataltotruehappiness.","Bertrand Russell,","['happiness', 'love']"
"lookagainatthatdot.thatshere.thatshome.thatsus.oniteveryoneyoulove,everyoneyouknow,everyoneyoueverheardof,everyhumanbeingwhoeverwas,livedouttheirlives.theaggregateofourjoyandsuffering,thousandsofconfidentreligions,ideologies,andeconomicdoctrines,everyhunterandforager,everyheroandcoward,everycreatoranddestroyerofcivilization,everykingandpeasant,everyyoungcoupleinlove,everymotherandfather,hopefulchild,inventorandexplorer,everyteacherofmorals,everycorruptpolitician,everysuperstar,everysupremeleader,everysaintandsinnerinthehistoryofourspecieslivedthereonamoteofdustsuspendedinasunbeam.theearthisaverysmallstageinavastcosmicarena.thinkoftheendlesscrueltiesvisitedbytheinhabitantsofonecornerofthispixelonthescarcelydistinguishableinhabitantsofsomeothercorner,howfrequenttheirmisunderstandings,howeagertheyaretokilloneanother,howferventtheirhatreds.thinkoftheriversofbloodspilledbyallthosegeneralsandemperorssothat,ingloryandtriumph,theycouldbecomethemomentarymastersofafractionofadot.ourposturings,ourimaginedselfimportance,thedelusionthatwehavesomeprivilegedpositionintheuniverse,arechallengedbythispointofpalelight.ourplanetisalonelyspeckinthegreatenvelopingcosmicdark.inourobscurity,inallthisvastness,thereisnohintthathelpwillcomefromelsewheretosaveusfromourselves.theearthistheonlyworldknownsofartoharborlife.thereisnowhereelse,atleastinthenearfuture,towhichourspeciescouldmigrate.visit,yes.settle,notyet.likeitornot,forthemomenttheearthiswherewemakeourstand.ithasbeensaidthatastronomyisahumblingandcharacterbuildingexperience.thereisperhapsnobetterdemonstrationofthefollyofhumanconceitsthanthisdistantimageofourtinyworld.tome,itunderscoresourresponsibilitytodealmorekindlywithoneanother,andtopreserveandcherishthepalebluedot,theonlyhomeweveeverknown.","Carl Sagan,","['earth', 'perspective', 'space']"
"itisacuriousthought,butitisonlywhenyouseepeoplelookingridiculousthatyourealizejusthowmuchyoulovethem.","Agatha Christie,",['love']
"basically,ihavetwospeeds....hostileorsmartaleck.yourchoice.","James Patterson,",['humor']
"makeimprovements,notexcuses.seekrespect,notattention.","Roy T. Bennett,","['excuse', 'improvement', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quote', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-philosophy', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'respect']"
no.icansurvivewellenoughonmyownifgiventheproperreadingmaterial.,"Sarah J. Maas,","['reading', 'survival']"
allendingsarealsobeginnings.wejustdontknowitatthetime.,"Mitch Albom,",['profound']
"thechineseusetwobrushstrokestowritethewordcrisis.onebrushstrokestandsfordangertheotherforopportunity.inacrisis,beawareofthedangerbutrecognizetheopportunity.",John F. Kennedy,"['chinese', 'crisis', 'danger', 'inspirational', 'opportunity']"
dontpanic.,"Douglas Adams,","['h2g2', 'hitchhiker-s-guide', 'humor', 'panic']"
"forme,treeshavealwaysbeenthemostpenetratingpreachers.ireverethemwhentheyliveintribesandfamilies,inforestsandgroves.andevenmoreireverethemwhentheystandalone.theyarelikelonelypersons.notlikehermitswhohavestolenawayoutofsomeweakness,butlikegreat,solitarymen,likebeethovenandnietzsche.intheirhighestboughstheworldrustles,theirrootsrestininfinitybuttheydonotlosethemselvesthere,theystrugglewithalltheforceoftheirlivesforonethingonlytofulfilthemselvesaccordingtotheirownlaws,tobuilduptheirownform,torepresentthemselves.nothingisholier,nothingismoreexemplarythanabeautiful,strongtree.whenatreeiscutdownandrevealsitsnakeddeathwoundtothesun,onecanreaditswholehistoryintheluminous,inscribeddiskofitstrunkintheringsofitsyears,itsscars,allthestruggle,allthesuffering,allthesickness,allthehappinessandprosperitystandtrulywritten,thenarrowyearsandtheluxuriousyears,theattackswithstood,thestormsendured.andeveryyoungfarmboyknowsthatthehardestandnoblestwoodhasthenarrowestrings,thathighonthemountainsandincontinuingdangerthemostindestructible,thestrongest,theidealtreesgrow.treesaresanctuaries.whoeverknowshowtospeaktothem,whoeverknowshowtolistentothem,canlearnthetruth.theydonotpreachlearningandprecepts,theypreach,undeterredbyparticulars,theancientlawoflife.atreesaysakernelishiddeninme,aspark,athought,iamlifefrometernallife.theattemptandtheriskthattheeternalmothertookwithmeisunique,uniquetheformandveinsofmyskin,uniquethesmallestplayofleavesinmybranchesandthesmallestscaronmybark.iwasmadetoformandrevealtheeternalinmysmallestspecialdetail.atreesaysmystrengthistrust.iknownothingaboutmyfathers,iknownothingaboutthethousandchildrenthateveryyearspringoutofme.iliveoutthesecretofmyseedtotheveryend,andicarefornothingelse.itrustthatgodisinme.itrustthatmylaborisholy.outofthistrustilive.whenwearestrickenandcannotbearourlivesanylonger,thenatreehassomethingtosaytousbestillbestilllookatmelifeisnoteasy,lifeisnotdifficult.thosearechildishthoughts.letgodspeakwithinyou,andyourthoughtswillgrowsilent.youareanxiousbecauseyourpathleadsawayfrommotherandhome.buteverystepandeverydayleadyoubackagaintothemother.homeisneitherherenorthere.homeiswithinyou,orhomeisnowhereatall.alongingtowandertearsmyheartwheniheartreesrustlinginthewindatevening.ifonelistenstothemsilentlyforalongtime,thislongingrevealsitskernel,itsmeaning.itisnotsomuchamatterofescapingfromonessuffering,thoughitmayseemtobeso.itisalongingforhome,foramemoryofthemother,fornewmetaphorsforlife.itleadshome.everypathleadshomeward,everystepisbirth,everystepisdeath,everygraveismother.sothetreerustlesintheevening,whenwestanduneasybeforeourownchildishthoughtstreeshavelongthoughts,longbreathingandrestful,justastheyhavelongerlivesthanours.theyarewiserthanweare,aslongaswedonotlistentothem.butwhenwehavelearnedhowtolistentotrees,thenthebrevityandthequicknessandthechildlikehastinessofourthoughtsachieveanincomparablejoy.whoeverhaslearnedhowtolistentotreesnolongerwantstobeatree.hewantstobenothingexceptwhatheis.thatishome.thatishappiness.","Herman Hesse,","['eternity', 'fear', 'forests', 'history', 'holiness', 'home', 'life', 'longing', 'poet', 'roots', 'self-discovery', 'spirituality', 'strength', 'trees', 'trust']"
livetothepointoftears.,Albert Camus,"['life', 'living']"
"agoodlibrarywillneverbetooneat,ortoodusty,becausesomebodywillalwaysbeinit,takingbooksofftheshelvesandstayinguplatereadingthem.","Lemony Snicket,","['libraries', 'reading']"
"whenyoustopexpectingpeopletobeperfect,youcanlikethemforwhotheyare.","Donald Miller,","['expectations', 'people', 'perfection', 'relationships']"
"storiesneverreallyend...evenifthebooksliketopretendtheydo.storiesalwaysgoon.theydontendonthelastpage,anymorethantheybeginonthefirstpage.","Cornelia Funke,",['inspirational']
whydidntilearntotreateverythinglikeitwasthelasttime.mygreatestregretwashowmuchibelievedinthefuture.,"Jonathan Safran Foer,","['future', 'inspirational', 'life']"
"toseeaworldinagrainofsandandaheaveninawildflower,holdinfinityinthepalmofyourhandandeternityinanhour.","William Blake,","['inspirational', 'wonder']"
"whenthepowerofloveovercomestheloveofpower,theworldwillknowpeace.",Jimi Hendrix,"['hippy', 'love', 'misattributed', 'peace', 'william-gladstone']"
"rememberthatwhereveryourheartis,thereyouwillfindyourtreasure.","Paulo Coelho,","['confidence', 'honesty']"
"afternourishment,shelterandcompanionship,storiesarethethingweneedmostintheworld.",Philip Pullman,"['books', 'needs', 'stories', 'storytelling', 'writing']"
findwhatyouloveandletitkillyou.,Charles Bukowski,['love']
"itwasbooksthatmademefeelthatperhapsiwasnotcompletelyalone.theycouldbehonestwithme,andiwiththem.","Cassandra Clare,",['will-herondale']
"justbecauseyoucallanelectriceelarubberduckdoesntmakeitarubberduck,doesitandgodhelpthepoorbastardwhodecidestheywanttotakeabathwiththeduckie.jacewayland","Cassandra Clare,","['city-of-bones', 'humor', 'jace-wayland']"
"lifeistobeenjoyed,notendured",Gordon B. Hinckley,['life']
thereisastubbornnessaboutmethatnevercanbeartobefrightenedatthewillofothers.mycouragealwaysrisesateveryattempttointimidateme.,"Jane Austen,","['courage', 'dignity', 'elizabeth-bennet', 'empowerment', 'fear', 'independence', 'intimidation', 'self-determination', 'strength', 'stubbornness', 'women']"
leteverythinghappentoyoubeautyandterrorjustkeepgoingnofeelingisfinal,Rainer Maria Rilke,"['enjoy-life', 'fearlessness', 'live-in-the-moment']"
learnwhatistobetakenseriouslyandlaughattherest.,Herman Hesse,['steppenwolf']
itisthetimeyouhavewastedforyourrosethatmakesyourrosesoimportant.,"Antoine de Saint-ExupÃ©ry,","['caring', 'inspirational', 'love', 'roses', 'time']"
aclassicisabookthathasneverfinishedsayingwhatithastosay.,"Italo Calvino,","['books', 'classics', 'literature', 'meaning', 'reading', 'words']"
"abook,too,canbeastar,alivingfiretolightenthedarkness,leadingoutintotheexpandinguniverse.",Madeleine L'Engle,"['books', 'fire', 'star', 'universe']"
"now,youtwothisyear,youbehaveyourselves.ifigetonemoreowltellingmeyouveyouveblownupatoiletorblownupatoiletweveneverblownupatoilet.greatideathough,thanks,mum.","J.K. Rowling,","['fred-weasley', 'george-weasley', 'humor', 'molly-weasley', 'toilet']"
igotoseekagreatperhaps.,FranÃ§ois Rabelais,"['death', 'french-renaissance-writer', 'john-green', 'last-words', 'life', 'looking-for-alaska', 'meaning-of-life', 'miles-halter']"
whatarementorocksandmountains,"Jane Austen,","['men', 'mountains', 'rocks']"
youcantbehappyunlessyoureunhappysometimes.,"Lauren Oliver,","['contrast', 'happiness', 'unhappiness']"
themanofknowledgemustbeablenotonlytolovehisenemiesbutalsotohatehisfriends.,Friedrich Nietzsche,"['enemies', 'friends', 'friendship', 'hatred', 'intelligence', 'knowledge', 'love', 'wisdom']"
"ifyouobeyalloftherules,youmissallofthefun.",Katharine Hepburn,['katharine-hepburn']
"dwellonthebeautyoflife.watchthestars,andseeyourselfrunningwiththem.","Marcus Aurelius,","['appreciation', 'awe', 'beauty', 'life', 'optimism', 'positivity', 'sense-of-wonder', 'stars']"
"iamnotsurethatiexist,actually.iamallthewritersthatihaveread,allthepeoplethatihavemet,allthewomenthatihavelovedallthecitiesihavevisited.",Jorge Luis Borges,['life']
"ah,saidavoicefromthedoorway,havingyourannualeveryonethinkswillisalunaticmeeting,areyouitsbiannual,saidjem.andno,thisisnotthatmeeting.","Cassandra Clare,","['clockwork-prince', 'will-herondale']"
"ifnooneintheentireworldcaredaboutyou,didyoureallyexistatall","Cassandra Clare,","['tessa-gray', 'theresa-gray']"
"mom.ihavesomethingtotellyou.imundead.now,iknowyoumayhavesomepreconceivednotionsabouttheundead.iknowyoumaynotbecomfortablewiththeideaofmebeingundead.butimheretotellyouthatundeadarejustlikeyouandmewell,okay.possiblymorelikemethanyou.","Cassandra Clare,","['city-of-ashes', 'humor', 'mortal-instruments', 'simon', 'vampire']"
howvainitistositdowntowritewhenyouhavenotstooduptolive.,Henry David Thoreau,['writing']
"youreofftogreatplacestodayisyourdayyourmountainiswaiting,so...getonyourway","Dr. Seuss,",['inspirational']
historywillbekindtomeforiintendtowriteit.,Winston S. Churchill,"['history', 'humor', 'writing']"
"hatethesin,lovethesinner.",Mahatma Gandhi,"['hate', 'love', 'religion', 'sin', 'sinners']"
"icareformyself.themoresolitary,themorefriendless,themoreunsustainediam,themoreiwillrespectmyself.","Charlotte BrontÃ«,","['ataraxy', 'defiance', 'empowerment', 'independence', 'individuality', 'self-assurance', 'self-awareness', 'self-containment', 'self-determination', 'self-esteem', 'self-reliance', 'self-respect', 'self-sufficiency', 'self-trust', 'solitude']"
judgeamanbyhisquestionsratherthanbyhisanswers.,Voltaire,"['answers', 'man', 'questions', 'thinking']"
ilivedinbooksmorethanilivedanywhereelse.,"Neil Gaiman,",['books']
"holeyyouhavethethewholeworldofearrelatedhumorbeforeyou,yougoforholey","J.K. Rowling,",['humor']
"idontwanttobeatthemercyofmyemotions.iwanttousethem,toenjoythem,andtodominatethem.","Oscar Wilde,","['emotions', 'mercy']"
"whatisloveihavemetinthestreetsaverypooryoungmanwhowasinlove.hishatwasold,hiscoatworn,thewaterpassedthroughhisshoesandthestarsthroughhissoul","Victor Hugo ,","['love', 'soul', 'stars']"
"somebirdsarenotmeanttobecaged,thatsall.theirfeathersaretoobright,theirsongstoosweetandwild.soyouletthemgo,orwhenyouopenthecagetofeedthemtheysomehowflyoutpastyou.andthepartofyouthatknowsitwaswrongtoimprisontheminthefirstplacerejoices,butstill,theplacewhereyouliveisthatmuchmoredrabandemptyfortheirdeparture.","Stephen King,","['birds', 'freedom', 'friends', 'friendship', 'letting-go']"
andthatsthethingaboutpeoplewhomeaneverythingtheysay.theythinkeveryoneelsedoestoo.,"Khaled Hosseini,","['earnestness', 'gullibility', 'honesty']"
"yousee,cuckoosareparasites.theylaytheireggsinotherbirdsnests.whentheegghatches,thebabycuckoopushestheotherbabybirdsoutofthenest.thepoorparentbirdsworkthemselvestodeathtryingtofindenoughfoodtofeedtheenormouscuckoochildwhohasmurderedtheirbabiesandtakentheirplaces.enormoussaidjace.didyoujustcallmefatitwasananalogy.iamnotfat.","Cassandra Clare,",['imposters']
learntolightacandleinthedarkestmomentsofsomeoneslife.bethelightthathelpsothersseeitiswhatgiveslifeitsdeepestsignificance.,"Roy T. Bennett,","['giving', 'goals', 'goals-in-life', 'inspiration', 'inspirational', 'inspirational-quotes', 'learn', 'learning', 'life', 'life-quotes', 'light', 'light-and-darkness', 'living-life', 'meaning', 'meaning-of-life', 'meaningful', 'meaningful-life', 'wisdom', 'wise']"
"well,nowiflittlebylittleyoustoplovingmeishallstoplovingyoulittlebylittleifsuddenlyyouforgetmedonotlookformeforishallalreadyhaveforgottenyouifyouthinkitlongandmadthewindofbannersthatpassesthroughmylifeandyoudecidetoleavemeattheshoreoftheheartwhereihaverootsrememberthatonthatday,atthathour,ishallliftmyarmsandmyrootswillsetofftoseekanotherland","Pablo Neruda,","['forgetting', 'heartbreak', 'inspirational', 'living', 'love', 'moving-on']"
sanityandhappinessareanimpossiblecombination.,Mark Twain,"['happiness', 'sanity']"
"wehavetoallowourselvestobelovedbythepeoplewhoreallyloveus,thepeoplewhoreallymatter.toomuchofthetime,weareblindedbyourownpursuitsofpeopletoloveus,peoplethatdontevenmatter,whileallthattimewewasteandthepeoplewhodoloveushavetostandonthesidewalkandwatchusbeginthestreetsitstimetoputanendtothis.itstimeforustoletourselvesbeloved.",C. JoyBell C.,"['growing', 'humanity', 'inspirational', 'inspirational-life', 'inspirational-love', 'inspirational-quotes', 'learning', 'life-and-living', 'life-lessons', 'love', 'people', 'real-love', 'reality', 'reality-of-life', 'those-who-love-us', 'to-be-loved', 'true-love', 'what-matters']"
"peoplewhoclaimthattheyreevilareusuallynoworsethantherestofus...itspeoplewhoclaimthattheyregood,oranywaybetterthantherestofus,thatyouhavetobewaryof.","Gregory Maguire,","['evil', 'good']"
thereasonithurtssomuchtoseparateisbecauseoursoulsareconnected.,Nicholas Sparks,"['hurt', 'sad', 'seperate', 'soul']"
"youareimperfect,permanentlyandinevitablyflawed.andyouarebeautiful.",Amy Bloom,"['beauty', 'body-image', 'imperfections', 'self-acceptance']"
greatspiritshavealwaysencounteredviolentoppositionfrommediocreminds.,Albert Einstein,"['greatness', 'opposition', 'spirit']"
hesawallflower.youseethings.youkeepquietaboutthem.andyouunderstand.,"Stephen Chbosky,",['wallflower']
thesilencedepressedme.itwasntthesilenceofsilence.itwasmyownsilence.,"Sylvia Plath,",['depression-silence']
"outofthecornerofhereyeshethoughtshesawjaceshootheralookofwhiteragebutwhensheglancedathim,helookedashealwaysdideasy,confident,slightlybored.infuture,clarissa,hesaid,itmightbewisetomentionthatyoualreadyhaveamaninyourbed,toavoidsuchtedioussituations.youinvitedhimintobedsimondemanded,lookingshaken.ridiculous,isntitsaidjace.wewouldneverhaveallfit.ididntinvitehimintobed,clarysnapped.wewerejustkissing.justkissingjacestonemockedherwithitsfalsehurt.howswiftlyyoudismissourlove.","Cassandra Clare,","['awkward', 'humor']"
weareallatheistsaboutmostofthegodsthathumanityhaseverbelievedin.someofusjustgoonegodfurther.,"Richard Dawkins,","['atheism', 'philosophy']"
"nomatterhowmuchsufferingyouwentthrough,youneverwantedtoletgoofthosememories.",haruki murakami,"['letting-go', 'life', 'life-lessons', 'memories']"
manypeoplelosethesmalljoysinthehopeforthebighappiness.,Pearl S. Buck,['contentment']
"alltheworldsastage,andallthemenandwomenmerelyplayerstheyhavetheirexitsandtheirentrancesandonemaninhistimeplaysmanyparts,hisactsbeingsevenages.","William Shakespeare,",['human-condition']
toburnwithdesireandkeepquietaboutitisthegreatestpunishmentwecanbringonourselves.,"Federico GarcÃ­a Lorca,","['desire', 'punishment', 'unrequited-love']"
usuallyimremarkablygoodnatured.trymeonadaythatdoesntendiny.,Cassandra Clare,"['jace', 'mortal-instruments']"
andilikelargeparties.theyresointimate.atsmallpartiesthereisntanyprivacy.,"F. Scott Fitzgerald,",['jordan-baker']
andsoitgoes...,"Kurt Vonnegut,",['classics']
"dontsayyoudonthaveenoughtime.youhaveexactlythesamenumberofhoursperdaythatweregiventohelenkeller,pasteur,michelangelo,motherteresa,leonardodavinci,thomasjefferson,andalberteinstein.",H. Jackson Brown Jr.,"['inspirational', 'life']"
"therewasaclatterasthebasiliskfangscascadedoutofhermionesarms.runningatron,sheflungthemaroundhisneckandkissedhimfullonthemouth.ronthrewawaythefangsandbroomstickhewasholdingandrespondedwithsuchenthusiasmthatheliftedhermioneoffherfeet.isthisthemomentharryaskedweakly,andwhennothinghappenedexceptthatronandhermionegrippedeachotherstillmorefirmlyandswayedonthespot,heraisedhisvoice.oitheresawargoingonhereronandhermionebrokeapart,theirarmsstillaroundeachother.iknow,mate,saidron,wholookedasthoughhehadrecentlybeenhitonthebackoftheheadwithabludger,soitsnowornever,isntitnevermindthat,whataboutthehorcruxharryshouted.dyouthinkyoucouldjustjustholditin,untilwevegotthediademyeahrightsorrysaidron,andheandhermionesetaboutgatheringupfangs,bothpinkintheface.","J.K. Rowling,","['love', 'romance', 'war']"
nowadayspeopleknowthepriceofeverythingandthevalueofnothing.,"Oscar Wilde,",['cynic']
"tellyourheartthatthefearofsufferingisworsethanthesufferingitself.andthatnohearthaseversufferedwhenitgoesinsearchofitsdreams,becauseeverysecondofthesearchisasecondsencounterwithgodandwitheternity.","Paulo Coelho,","['fear', 'suffering']"
"begratefulforwhatyoualreadyhavewhileyoupursueyourgoals.ifyouarentgratefulforwhatyoualreadyhave,whatmakesyouthinkyouwouldbehappywithmore.","Roy T. Bennett,","['goal', 'goals', 'gratitude', 'happiness', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leadership', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
idreammypaintingandipaintmydream.,Vincent Willem van Gogh,"['art', 'dreams', 'inspiration', 'painting']"
foreveriscomposedofnows.,Emily Dickinson,"['carpe-diem', 'live-in-the-moment']"
"onceyouhavetastedflight,youwillforeverwalktheearthwithyoureyesturnedskyward,forthereyouhavebeen,andthereyouwillalwayslongtoreturn.",Leonardo da Vinci,"['flight', 'flying', 'inspirational']"
"educationisanadmirablething,butitiswelltorememberfromtimetotimethatnothingthatisworthknowingcanbetaught.",Oscar Wilde,['education-knowledge']
thisisyourlifeanditsendingonemomentatatime.,"Chuck Palahniuk,",['life']
"ifyouareallergictoathing,itisbestnottoputthatthinginyourmouth,particularlyifthethingiscats.","Lemony Snicket,",['humor-cats-allergies']
"peoplearemoredifficulttoworkwiththanmachines.andwhenyoubreakaperson,hecantbefixed.","Rick Riordan,","['machines', 'people']"
"thethingaboutgrowingupwithfredandgeorge,saidginnythoughtfully,isthatyousortofstartthinkinganythingspossibleifyouvegotenoughnerve.","J. K. Rowling,","['ginny-weasley', 'inspirational']"
"treateveryonewithpolitenessandkindness,notbecausetheyarenice,butbecauseyouare.","Roy T. Bennett,","['inspiration', 'inspirational', 'inspirational-quotes', 'kind', 'kindness', 'life', 'life-quotes', 'living-life']"
"thingswelosehaveawayofcomingbacktousintheend,ifnotalwaysinthewayweexpect.","JK Rowling,","['death', 'love']"
bookshaveauniquewayofstoppingtimeinaparticularmomentandsayingletsnotforgetthis.,Dave Eggers,"['books', 'time']"
starteachdaywithapositivethoughtandagratefulheart.,"Roy T. Bennett,","['gratitude', 'heart', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'thoughts']"
"believeinyourheartbelieveinyourheartthatyouremeanttolivealifefullofpassion,purpose,magicandmiracles.","Roy T. Bennett,","['believe', 'heart', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'magic', 'miracles', 'optimism', 'optimistic', 'passion', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'purpose']"
"thatwasthething.younevergotusedtoit,theideaofsomeonebeinggone.justwhenyouthinkitsreconciled,accepted,someonepointsitouttoyou,anditjusthitsyoualloveragain,thatshocking.","Sarah Dessen,","['death', 'life']"
"bothrowlingandmeyer,theyrespeakingdirectlytoyoungpeople.therealdifferenceisthatjorowlingisaterrificwriterandstepheniemeyercantwriteworthadarn.shesnotverygood.",Stephen King,"['harry-potter', 'jk-rowling', 'stephenie-meyer', 'twilight']"
"readingisescape,andtheoppositeofescapeitsawaytomakecontactwithrealityafteradayofmakingthingsup,anditsawayofmakingcontactwithsomeoneelsesimaginationafteradaythatsalltooreal.",Nora Ephron,['reading']
amancannomorediminishgodsglorybyrefusingtoworshiphimthanalunaticcanputoutthesunbyscribblingtheworddarknessonthewallsofhiscell.,"C.S. Lewis,","['god', 'religion']"
nevercloseyourlipstothosewhomyouhavealreadyopenedyourheart.,Charles Dickens,"['kissing', 'love', 'romance']"
"ifyouhavetwofriendsinyourlifetime,yourelucky.ifyouhaveonegoodfriend,youremorethanlucky.",S.E. Hinton,"['friends', 'friendship']"
"onelove,oneheart,onedestiny.",Robert Marley,"['bob-marley', 'compassion', 'destiny', 'heart', 'humanity', 'inspirational', 'love']"
"storiesmaywellbelies,buttheyaregoodliesthatsaytruethings,andwhichcansometimespaytherent.",Neil Gaiman,['writing']
"ifyougavesomeoneyourheartandtheydied,didtheytakeitwiththemdidyouspendtherestofforeverwithaholeinsideyouthatcouldntbefilled","Jodi Picoult,","['death', 'heart', 'love']"
"iwaswithinandwithout,simultaneouslyenchantedandrepelledbytheinexhaustiblevarietyoflife.","Fitzgerald F. Scott,",['philosophy']
"thesecretofhealthforbothmindandbodyisnottomournforthepast,nortoworryaboutthefuture,buttolivethepresentmomentwiselyandearnestly.","Bukkyo Dendo Kyokai,",['inspirational']
"dance,whenyourebrokenopen.dance,ifyouvetornthebandageoff.danceinthemiddleofthefighting.danceinyourblood.dancewhenyoureperfectlyfree.",Rumi,"['dance', 'inspirational']"
"ifshesamazing,shewontbeeasy.ifsheseasy,shewontbeamazing.ifshesworthit,youwontgiveup.ifyougiveup,yourenotworthy....truthis,everybodyisgoingtohurtyouyoujustgottafindtheonesworthsufferingfor.","Bob Marley,","['inspirational', 'love']"
"thegreaterthelove,thegreaterthetragedywhenitsover.","Nicholas Sparks,",['love']
"itisntpossibletoloveandpart.youwillwishthatitwas.youcantransmutelove,ignoreit,muddleit,butyoucanneverpullitoutofyou.iknowbyexperiencethatthepoetsarerightloveiseternal.","E.M. Forster,","['love', 'poets', 'romance']"
"thedarkerthenight,thebrighterthestars,thedeeperthegrief,thecloserisgod","Fyodor Dostoevsky,","['god', 'grief', 'night']"
iwillnotletanyonewalkthroughmymindwiththeirdirtyfeet.,mahatma gandhi,"['cleanliness', 'consciousness', 'corruption', 'feet', 'individuality', 'mind', 'purity']"
"doyouwishmeagoodmorning,ormeanthatitisagoodmorningwhetheriwantitornotorthatyoufeelgoodthismorningorthatitisamorningtobegoodon","J.R.R. Tolkien,","['humor', 'semantics', 'suspicion']"
"finally,fromsolittlesleepingandsomuchreading,hisbraindriedupandhewentcompletelyoutofhismind.","Miguel de Cervantes Saavedra,","['books', 'humor', 'reading']"
"andonthesubjectofburningbooksiwanttocongratulatelibrarians,notfamousfortheirphysicalstrengthortheirpowerfulpoliticalconnectionsortheirgreatwealth,who,alloverthiscountry,havestaunchlyresistedantidemocraticbullieswhohavetriedtoremovecertainbooksfromtheirshelves,andhaverefusedtorevealtothoughtpolicethenamesofpersonswhohavecheckedoutthosetitles.sotheamericailovedstillexists,ifnotinthewhitehouseorthesupremecourtorthesenateorthehouseofrepresentativesorthemedia.theamericailovestillexistsatthefrontdesksofourpubliclibraries.","Kurt Vonnegut,","['america', 'books', 'politics']"
therearenofasterorfirmerfriendshipsthanthoseformedbetweenpeoplewholovethesamebooks.,"Irving Stone,","['books', 'friendship']"
donttakelifetooseriously.punchitinthefacewhenitneedsagoodhit.laughatit.,"Colleen Hoover,",['life']
"whatyoudo,thewayyouthink,makesyoubeautiful.","Scott Westerfeld,","['beauty', 'david', 'uglies', 'westerfeld']"
"whensomeoneiscrying,ofcourse,thenoblethingtodoistocomfortthem.butifsomeoneistryingtohidetheirtears,itmayalsobenobletopretendyoudonotnoticethem.","Lemony Snicket,","['comfort', 'crying', 'tears']"
"i,myself,ammadeentirelyofflaws,stitchedtogetherwithgoodintentions.",Augusten Burroughs,"['flaws', 'individuality']"
